gene,SubGroup-20220427-060001_log2FoldChange,SubGroup-20220427-060001_padj,SubGroup-20220430-004133_log2FoldChange,SubGroup-20220430-004133_padj,SubGroup-20220429-185614_log2FoldChange,SubGroup-20220429-185614_padj,SubGroup-20220421-205602_log2FoldChange,SubGroup-20220421-205602_padj,SubGroup-20220421-025501_log2FoldChange,SubGroup-20220421-025501_padj,SubGroup-20220429-003157_log2FoldChange,SubGroup-20220429-003157_padj,SubGroup-20220425-064702_log2FoldChange,SubGroup-20220425-064702_padj,SubGroup-20220429-130636_log2FoldChange,SubGroup-20220429-130636_padj,SubGroup-20220425-081002_log2FoldChange,SubGroup-20220425-081002_padj,SubGroup-20220419-183523_log2FoldChange,SubGroup-20220419-183523_padj,SubGroup-20220323-140755_log2FoldChange,SubGroup-20220323-140755_padj,SubGroup-20220324-071315_log2FoldChange,SubGroup-20220324-071315_padj,SubGroup-20220322-054649_log2FoldChange,SubGroup-20220322-054649_padj,SubGroup-20220425-114106_log2FoldChange,SubGroup-20220425-114106_padj,SubGroup-20220419-223032_log2FoldChange,SubGroup-20220419-223032_padj,SubGroup-20220324-221313_log2FoldChange,SubGroup-20220324-221313_padj,SubGroup-20220418-141453_log2FoldChange,SubGroup-20220418-141453_padj,SubGroup-20220423-160346_log2FoldChange,SubGroup-20220423-160346_padj,SubGroup-20220321-233956_log2FoldChange,SubGroup-20220321-233956_padj,SubGroup-20220423-200800_log2FoldChange,SubGroup-20220423-200800_padj,SubGroup-20220428-164506_log2FoldChange,SubGroup-20220428-164506_padj,SubGroup-20220419-225028_log2FoldChange,SubGroup-20220419-225028_padj,SubGroup-20220325-000524_log2FoldChange,SubGroup-20220325-000524_padj,SubGroup-20220501-032700_log2FoldChange,SubGroup-20220501-032700_padj,SubGroup-20220428-005140_log2FoldChange,SubGroup-20220428-005140_padj,SubGroup-20220415-113944_log2FoldChange,SubGroup-20220415-113944_padj,SubGroup-20220422-183229_log2FoldChange,SubGroup-20220422-183229_padj,SubGroup-20220322-212513_log2FoldChange,SubGroup-20220322-212513_padj,SubGroup-20220322-144533_log2FoldChange,SubGroup-20220322-144533_padj,SubGroup-20220415-113406_log2FoldChange,SubGroup-20220415-113406_padj,SubGroup-20220423-182806_log2FoldChange,SubGroup-20220423-182806_padj,SubGroup-20220423-120742_log2FoldChange,SubGroup-20220423-120742_padj,SubGroup-log2FC_median,SubGroup-log2FC_mean,NT-TP_log2FoldChange,pvalue,type,SUPPORT,CONFIDENCE,LIFT,COUNT
A2M,,,,,,,,,,,1.4221084180726582,4.3966669657669675e-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7110542090363291,0.7110542090363291,,,Colorectal Neoplasms,0.00018432536914891496,0.9024390243902439,1.067783424858988,37.0
A2ML1,-2.1646498240224683,0.0001039006486972,-2.543313800458351,8.036096396417716e-06,-3.4068252249285567,3.3633154424544757e-10,,,-2.0068674415825374,0.0004730574291255,,,,,-1.4528143231540067,0.0113755701853907,,,,,,,,,,,-1.614988947133596,0.0048539020537731,-2.0586745853513038,0.0003303157244763,,,-1.2714266854632716,0.031959618157637,,,-2.063866467303133,0.000261248174187,-1.6056721097613222,0.0061796311771872,,,-1.617437621503071,0.0051062342355711,,,-1.4270100822062255,0.0148674910427066,1.6067939477765292,0.004050683827238,-1.75725669276021,0.0024058311237119,-1.829610268171804,0.0012914868569217,-1.2943716379126675,0.0253049230668135,,,,,,,,,4.018216363980981e-06,-0.7999822974419234,,,,,,,
A4GALT,,,,,,,,,,,1.2126471133925596,8.622887663927666e-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6063235566962798,0.6063235566962798,,,Colorectal Neoplasms,3.985413387003567e-05,1.0,1.1832194707896893,8.0
AADAC,,,,,-1.2026237042787178,3.36028265090688e-05,,,-1.4361334245899815,3.2244653638638653e-07,1.0071681141536888,0.000518614553093,,,,,,,,,,,,,-1.2429795140786897,2.5697779319277274e-05,,,,,,,,,,,,,,,,,-1.5769483317110355,1.9560397164107987e-08,,,,,,,,,,,,,,,-1.528742550439541,7.55554615664944e-08,,,,,4.755792936530119e-08,-0.45997546389731003,,,Colorectal Neoplasms,7.472650100631688e-05,1.0,1.1832194707896893,15.0
ABAT,1.0928023604544466,9.728775836277471e-14,,,1.1528483256145463,3.824600013073516e-15,,,1.3963009347262711,1.9393190829163344e-23,,,1.111559002252933,1.2394819032369985e-15,1.1197159259649088,3.3032934932585166e-14,1.1227238378163498,1.1541366789755557e-16,,,1.1491131770473255,1.954107138499005e-14,1.242064161232119,6.762868061012167e-18,1.2997404338745049,1.986058306501038e-18,1.1752366683786466,5.23622198892028e-16,1.0226828516131787,3.1015578469653086e-11,1.1278270687654988,6.064847063086851e-16,1.0453369629527918,4.56358207004854e-12,1.2168983927153625,2.7157589976499813e-18,1.2221882913661388,5.87194412047875e-16,1.0716356051032734,4.964485381585761e-12,1.044889418623943,2.2577993254758978e-12,1.3453706903884342,1.044038056447275e-20,,,1.3165637268571124,2.199933431234093e-20,,,1.0826725829390371,2.2717643375752574e-12,1.2052382561021349,9.15953292180949e-16,1.2264054018051045,9.193364191844178e-19,,,1.3582081969913635,2.1557109398587123e-21,1.0757440858786351,1.7413973989912535e-14,,,0.5113414258220972,0.5864307711292124,,,,,,,
ABCA1,,,,,,,,,,,1.0217862864227212,4.629600828628462e-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5108931432113606,0.5108931432113606,,,Colorectal Neoplasms,6.476296753880796e-05,0.9285714285714286,1.0987037943047115,13.0
ABCA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.022830801683715,5.656459763967957e-09,,,,,,,,,,,,,,,,,,,,,-0.5114153980136277,-0.5114153980136277,,,,,,,
ABCA12,-2.1524779890165013,2.3819057497690905e-07,-2.9072534112340223,2.1874171868333125e-13,-3.0858021562339517,4.105951173611074e-15,-2.4291819490248674,2.8836485348234277e-10,-2.3471790428139,5.772817157394342e-09,-1.482815686597782,5.529296722483514e-05,-3.00445438262937,1.6907165534903053e-14,-2.8744453815196978,1.8108524310338934e-13,-2.4630217420591367,1.100244905324793e-09,-3.5769700164809963,1.3437557113817756e-20,-2.8805033523296864,1.536995266237219e-12,-1.969534233347848,6.737466070523933e-06,-3.1133317396818243,8.617870843151085e-15,-3.163387276497317,3.261340358327908e-16,-2.8570439670850103,4.779692010586178e-13,-2.7316834664294456,1.0341442216626691e-11,-3.0793471049173826,8.66474863836116e-15,-2.614416929546979,1.2923446121588766e-10,-3.135181601449528,1.2247437558592716e-15,-3.576581358885617,6.267025368394025e-21,-2.8028285016069074,5.775558719498536e-12,-2.811188482630392,1.9266592522452184e-12,-2.120949937008887,2.1080601525163106e-07,-3.093405064196232,3.57285511973578e-15,-2.5461284818400447,9.060840973821429e-11,-2.8568907490763045,5.1626288904308e-13,-2.991557050643955,3.79431018246912e-14,-2.916415189553109,4.4713680252913343e-14,-3.369173318286245,2.484947550697096e-18,-2.9623285301167037,8.588545628872796e-14,-3.25455561224306,8.185202423593348e-18,-2.7535125097501365,1.1965977580883e-12,-0.741407843298891,-1.3948444857107416,,,Colorectal Neoplasms,9.963533467508918e-06,0.6666666666666666,0.7888129805264594,2.0
ABCA3,,,,,-1.0289788611503217,5.123093668524836e-07,,,-1.0654063677558503,1.8829197255155925e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5144893364291746,-0.5217747729468014,,,Colorectal Neoplasms,4.981766733754459e-06,1.0,1.1832194707896893,1.0
ABCA4,-2.232752198130642,8.270729136793838e-14,,,-2.762217091814658,9.557745119658742e-21,,,-2.979125126411094,6.006778010182554e-26,,,-2.761785426335643,5.4115751261437116e-21,-1.340255173749039,2.3945755594983705e-05,-1.4548337462563323,6.864325630035479e-06,-2.2194102206531103,1.1577988069728192e-12,-2.54875866559801,3.875726252345222e-17,-2.9492073353160184,7.253992503448546e-23,-3.1320508606025643,6.519443822764305e-28,-2.250968514325311,1.2519077127749182e-13,,,-2.4982264750083347,2.91130807593191e-16,-2.647200126056016,1.036868919083821e-18,-2.936021540326028,1.466523700800487e-23,-2.7351958621865484,3.530025084951524e-20,-2.083432225943709,1.4734901638817e-11,-2.1556594159856077,6.452849828179151e-12,-3.025630210877744,5.5975299743928055e-27,,,-3.0138576194368887,4.308183520926682e-25,-1.210678455319988,5.5531129411223735e-05,,,-2.982195137598718,8.135365868068714e-26,-2.9798730305705763,8.149568941925646e-26,-2.362103120432761,3.7783479022252014e-15,-3.022638273669752,2.777354768051397e-26,-2.44217298642604,4.9101714183142426e-17,-2.01530143915894,3.878546780366769e-12,-0.605339227659994,-1.2329585502757172,,,Colorectal Neoplasms,3.487236713628121e-05,1.0,1.1832194707896893,7.0
